               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.014656,            0.011018,           0.0034296,              0.9515,             0.95436,             0.97196,             0.71973,           0.0099565,           0.0038715,           0.0011765,            0.002773,            0.002773,            0.002773
                  75,            0.014728,            0.011161,           0.0028527,             0.94365,              0.9497,             0.96711,             0.71488,            0.010615,           0.0038798,           0.0012508,            0.002674,            0.002674,            0.002674
                  76,            0.013728,            0.010978,           0.0033935,             0.95574,             0.96121,             0.96506,             0.71011,            0.010734,           0.0038088,           0.0012238,            0.002575,            0.002575,            0.002575
                  77,            0.014399,            0.011414,           0.0035186,             0.95287,             0.96328,             0.96662,             0.70505,            0.010887,           0.0039013,           0.0012295,            0.002476,            0.002476,            0.002476
                  78,            0.014435,            0.010888,            0.003595,             0.94557,             0.95999,             0.96141,             0.68941,            0.010538,           0.0040774,           0.0013657,            0.002377,            0.002377,            0.002377
                  79,            0.014158,            0.011023,           0.0030169,             0.93276,             0.95393,             0.96446,              0.7093,            0.010069,           0.0040329,           0.0015102,            0.002278,            0.002278,            0.002278
                  80,            0.013901,            0.010861,           0.0032342,             0.92882,             0.96549,             0.96221,             0.72465,           0.0096882,           0.0039111,           0.0012468,            0.002179,            0.002179,            0.002179
                  81,            0.014694,            0.010712,           0.0031733,             0.93567,             0.95916,             0.97048,             0.72878,             0.01001,           0.0039115,          0.00097089,             0.00208,             0.00208,             0.00208
                  82,            0.014353,            0.010565,           0.0025029,             0.95697,              0.9548,             0.96962,             0.71152,           0.0098051,           0.0040073,           0.0010616,            0.001981,            0.001981,            0.001981
                  83,            0.013887,            0.010544,           0.0026347,             0.94375,             0.94942,             0.96437,             0.72212,           0.0096066,           0.0039971,           0.0011004,            0.001882,            0.001882,            0.001882
                  84,            0.014075,            0.010656,           0.0029739,             0.90989,             0.96996,             0.96048,             0.72811,            0.009424,            0.003985,           0.0011758,            0.001783,            0.001783,            0.001783
                  85,            0.013578,            0.010625,           0.0031884,             0.92995,             0.94012,             0.96036,              0.7101,           0.0096273,           0.0040106,           0.0012742,            0.001684,            0.001684,            0.001684
                  86,            0.013424,            0.010592,           0.0025135,             0.91169,             0.96555,             0.96244,              0.7257,           0.0096236,            0.003917,           0.0012196,            0.001585,            0.001585,            0.001585
                  87,            0.013774,            0.010215,           0.0030855,             0.94961,             0.94855,             0.96522,             0.72349,           0.0097286,           0.0040466,           0.0011616,            0.001486,            0.001486,            0.001486
                  88,             0.01296,            0.010112,           0.0019341,              0.9447,             0.94317,             0.96344,             0.72759,           0.0096222,           0.0040334,           0.0013291,            0.001387,            0.001387,            0.001387
                  89,             0.01342,            0.010422,           0.0027972,             0.93883,             0.93155,             0.96013,             0.73218,           0.0095251,           0.0039571,           0.0013306,            0.001288,            0.001288,            0.001288
                  90,            0.013752,            0.010201,           0.0027704,             0.91717,             0.96953,             0.96291,             0.73127,           0.0095857,           0.0039468,           0.0013955,            0.001189,            0.001189,            0.001189
                  91,            0.012629,            0.010324,            0.002162,              0.9304,             0.96904,              0.9628,             0.73505,           0.0094531,           0.0039261,            0.001279,             0.00109,             0.00109,             0.00109
                  92,            0.013591,            0.010505,           0.0022626,             0.93017,             0.95321,             0.96023,             0.72868,           0.0093922,           0.0040278,           0.0013792,            0.000991,            0.000991,            0.000991
                  93,             0.01271,           0.0099887,           0.0030652,             0.93407,             0.94701,             0.96024,             0.72405,           0.0094614,           0.0039417,           0.0013829,            0.000892,            0.000892,            0.000892
                  94,            0.013213,            0.010489,           0.0022363,             0.94867,             0.95804,             0.96394,             0.72427,           0.0096627,           0.0039935,           0.0012141,            0.000793,            0.000793,            0.000793
                  95,            0.012566,            0.010037,            0.002314,               0.958,             0.96018,              0.9664,             0.72086,           0.0094137,           0.0040301,            0.001267,            0.000694,            0.000694,            0.000694
                  96,            0.012545,             0.01001,            0.001988,             0.95458,             0.96018,               0.967,             0.72722,           0.0093362,           0.0040416,           0.0012471,            0.000595,            0.000595,            0.000595
                  97,            0.013369,            0.010105,            0.002448,             0.94639,             0.95939,             0.96591,             0.73507,           0.0092347,           0.0039709,           0.0012199,            0.000496,            0.000496,            0.000496
                  98,            0.012409,             0.01024,           0.0021716,             0.94091,             0.96247,             0.96418,             0.73596,           0.0093808,           0.0039719,           0.0012329,            0.000397,            0.000397,            0.000397
                  99,            0.011909,            0.010068,           0.0019842,             0.94649,             0.96106,             0.96483,             0.73463,           0.0092473,           0.0039414,           0.0012141,            0.000298,            0.000298,            0.000298
